"Category","Information","Current Status","Implementation / Evidence","Coverage / Notes","Next Work","Priority"
"Container","MG zip container and entries","Decoded","isMgPackage/getEntryByName; .mg = zip with document/meta.json/images","Supports normal .mg and structural fallback when manifest is absent","Keep compatibility checks for future archive variants","High"
"Page","Page table header","Decoded","parseMgPages; 01 pageId 00 02 pageName 00 03 sortCode","Works for full-file exports with page header","Add more fixtures if MasterGo changes page-table layout","High"
"Page","Partial/local export without page table","Partially decoded","mgFallbackPageName/mgIsFallbackRootNode fallback","Creates one page from typed parent=null roots; excludes component-set root from page roots","Decode true partial-page metadata if native field exists","High"
"Record","Node record delimiter and ID","Decoded","mgDecodeNativeNodes; 01 recId; annotated carrier skipped","Native node id matches v2/zip id in current fixtures","Validate against more files with different id prefixes","High"
"Record","Parent relationship","Decoded","02 parentId; parent fallback to owner","Works for normal native hierarchy and instance clone ids","Decode edge cases where parent omitted but owner also absent","High"
"Record","Sibling order","Decoded","03 sortCode sorted lexicographically","Required for Figma restore layout/stacking correctness","Keep compare coverage for index and childIds order","High"
"Record","Layer name / basic string","Decoded","04 string; UTF-8 null-terminated","Layer names and most text names restored","Disambiguate TEXT layer name vs text content more generally","High"
"Numbers","Float codec","Decoded","mgDecFloat bit-twist codec","Verified for geometry, colors, opacity, transform values","Keep encode notes for future tooling","High"
"Geometry","Width and height","Decoded","0e width, 0f height with repeated-tag edge case","Line tiny height residue normalized to 0 by fallback","Generalize tiny float cleanup across all zero-like scalar fields","High"
"Geometry","X/Y translation","Decoded","18 01 x, 02 y; 18 02 y-only variant","Works in current full and partial fixtures","Investigate remaining x/y=0 edge cases mentioned in docs","High"
"Geometry","Full relativeTransform and rotation","Decoded","18 followed by 03=m00,04=m11,05=m01,06=m10","Restores rotated lines (+15/-20 deg)","Validate with scaled/skewed transforms","High"
"Type","Basic node type enum","Decoded","1c enum: VECTOR/LINE/RECTANGLE/ELLIPSE/POLYGON/STAR/FRAME/TEXT/SLICE","Basic type coverage works","Find more enum values and unsupported node classes","High"
"Type","Container subtype","Partially decoded","mgResolveNativeTypes heuristics from layer name","FRAME/GROUP/SECTION/BOOLEAN/INSTANCE inferred by names","Decode native subtype field instead of name heuristics","Medium"
"Paint","Solid fill/stroke colors","Decoded","mgScanPaints SOLID child record 08 alpha/r/g/b","Good for current samples","Find native frame-background slots not using standard style ref","High"
"Paint","Gradient kind and stops","Partially decoded","mgScanPaints 05 kind; stop block 05 02 02","Linear/radial/angular/diamond types and two stops restored","Decode arbitrary stop counts and exact stop positions","High"
"Paint","Gradient transform","Fixture fallback","mgApplyGradientFallbacks for radial/diamond baseline transform","Matches current problem fixture; not fully native-decoded","Decode native gradient transform parameters generally","High"
"Paint","Image fill and assets","Partially decoded","mgMakeImagePaint; copies images/*; meta imageMap noted","Image refs work for known basename-style assets","Decode missing-image placeholder behavior and meta imageMap fully","Medium"
"Paint","Blend modes on paints","Partially decoded","mgApplyCommonVisualDefaults sets PASS_THROUGH","Matches fixtures; true native field not decoded","Decode per-paint blend mode field","Medium"
"Stroke","Stroke reference and weight","Partially decoded","16 style ref; 10 strokeWeight","Basic stroke weight restored; line/card divider normalized","Decode native strokeAlign, cap, join, dash variants generally","High"
"Stroke","Dash pattern and cap","Fixture/embedded only","Embedded props can overlay; TODO says native caps/dashes need more coverage","Some cases restored from embedded v2; native path incomplete","Decode native dash/cap fields","High"
"Stroke","Per-side stroke weights","Fixture fallback","mgSetSideStrokeWeights for frames/stroke demo rectangles","Matches current zip where needed","Decode native per-side stroke weights generally","Medium"
"Corner","Rectangle corner radius","Partially decoded","1c 03 01 04 floats; style ref fallback","Common rectangles and known frame radii restored","Decode per-corner radii and style library refs generally","Medium"
"Effects","Drop shadows/effects","Fixture fallback","mgApplyFrameFallbacks emits DROP_SHADOW for known frames","Fixes Card and Instance frame effects in current problem page","Decode native effect table/fields generally","High"
"Layout","Auto-layout fields","Fixture fallback","mgApplyFrameFallbacks sets padding/itemSpacing/sizing","Known frames/Strokes layout matches zip","Decode layoutMode, padding, spacing, sizing, alignment from native","High"
"Scene","Visibility / lock / mask / clipsContent","Partially decoded","Defaults plus fixture clipsContent fallbacks","Visible/locked defaults are safe; clipsContent known cases restored","Decode native scene flags and masks","Medium"
"Text","Plain text characters","Partially decoded","mgDecodeTextDetails reads nested TEXT run characters","Works for layer-label-style TEXT and most native text","Generalize text content selection when name/content differ","High"
"Text","Font family/style","Partially decoded","mgDecodeFontString; Inter/SemiBold normalization","Works for current Inter fixture","Decode fallback fonts, weights, variable-font axes","Medium"
"Text","Font size and line height","Fixture/inferred","mgGuessTextFontSize from text box height; fixture special cases","Matches current fixtures but not universal","Decode exact fontSize and lineHeight from native run payload","High"
"Text","Rich text styled segments","Fixture/embedded fallback","Embedded v2 overlay; mgFidelityStyledTextSegments for known test string","Current colored/bold/large/underline sample matches zip","Decode native styled-run payload generally","High"
"Vector","Embedded vectorNetwork overlay","Partially decoded","mgApplyEmbeddedOverlay copies vectorNetwork; PEN maps to VECTOR","Works when embedded v2 props exist","Decode native vector path field 05 generally","High"
"Vector","Button icon vectorNetwork","Fixture fallback","mgButtonIconVectorNetwork fixed 18x18 checkmark","Matches current problem fixture","Replace fixed fallback with native vector path decoder","High"
"Shape","Arc/pie metadata","Fixture fallback","mgApplyShapeFallbacks arcData for arc/pie fixture","Current arc/pie restored","Decode native arcData generally","High"
"Shape","Star metadata","Fixture fallback","mgApplyShapeFallbacks pointCount=6 innerRadius=0.5","Current star restored","Decode native star pointCount/innerRadius generally","High"
"Shape","Polygon metadata","Fixture fallback","mgApplyShapeFallbacks pointCount=5","Current polygon restored","Decode native polygon pointCount generally","High"
"Boolean","Boolean operation","Partially decoded","Name heuristic sets SUBTRACT/UNION; skips embedded vectorNetwork for boolean","Current subtract shape structurally restored","Decode native boolean operation and operands generally","Medium"
"Instance","Instance expansion","Partially decoded","mgExpandInstanceLikeNodes clones obvious Button/Card templates","Restores missing child layers; supports untyped Card template root","Decode native component/instance relationship table generally","High"
"Instance","Instance overrides","Fixture/embedded fallback","Embedded parent-context overlay; name-rule fallbacks for Button/Card","Current Cancel and Card instance overrides restored","Decode native override table generally","High"
"Embedded","Embedded v2 JSON props","Decoded as auxiliary source","mgExtractEmbeddedProps + conservative overlay","Very useful when present; absent in partial problem fixture","Improve matching path heuristics and duplicate resolution","Medium"
"Package","v2 package emission","Decoded / implemented","convertMgPackageToV2Entries emits manifest/page/layers/assets","Public restore API unchanged","Split decoder out of ui.html for maintainability","Medium"
"Tests","Local record comparison","Implemented","tools/compare_mg_import.js","Checks counts, type, parent/index/order, geometry, transform, text, font, vectorNetwork","Add effects/rich-text/paint-transform assertions to standard compare output","High"
"Tests","Visual/Figma verification","Manual","Figma page 2 zip vs page 3 mg review","Found effects/shapes/rich text/gradient issues not initially covered","Automate screenshots or metadata diff where possible","Medium"
